theta_deg,phi_deg,theta_plus_phi,difference
27.8,62.2,90.0,34.400000000000006
27.85,62.15,90.0,34.3
27.900000000000002,62.099999999999994,90.0,34.19999999999999
27.950000000000003,62.05,90.0,34.099999999999994
28.0,62.0,90.0,34.0
28.05,61.95,90.0,33.900000000000006
28.1,61.9,90.0,33.8
28.150000000000002,61.849999999999994,90.0,33.69999999999999
28.200000000000003,61.8,90.0,33.599999999999994
28.25,61.75,90.0,33.5
28.3,61.7,90.0,33.400000000000006
28.35,61.65,90.0,33.3
28.400000000000002,61.599999999999994,90.0,33.19999999999999
28.450000000000003,61.55,90.0,33.099999999999994
28.5,61.5,90.0,33.0
28.55,61.45,90.0,32.900000000000006
28.6,61.4,90.0,32.8
28.650000000000002,61.349999999999994,90.0,32.69999999999999
28.700000000000003,61.3,90.0,32.599999999999994
28.75,61.25,90.0,32.5
28.8,61.2,90.0,32.400000000000006
28.85,61.15,90.0,32.3
28.900000000000002,61.099999999999994,90.0,32.19999999999999
28.950000000000003,61.05,90.0,32.099999999999994
29.0,61.0,90.0,32.0
29.05,60.95,90.0,31.900000000000002
29.1,60.9,90.0,31.799999999999997
29.150000000000002,60.849999999999994,90.0,31.699999999999992
29.200000000000003,60.8,90.0,31.599999999999994
29.25,60.75,90.0,31.5
29.3,60.7,90.0,31.400000000000002
29.35,60.65,90.0,31.299999999999997
29.400000000000002,60.599999999999994,90.0,31.199999999999992
29.450000000000003,60.55,90.0,31.099999999999994
29.5,60.5,90.0,31.0
29.55,60.45,90.0,30.900000000000002
29.6,60.4,90.0,30.799999999999997
29.650000000000002,60.349999999999994,90.0,30.699999999999992
29.700000000000003,60.3,90.0,30.599999999999994
29.75,60.25,90.0,30.5
29.8,60.2,90.0,30.400000000000002
29.85,60.15,90.0,30.299999999999997
29.900000000000002,60.099999999999994,90.0,30.199999999999992
29.950000000000003,60.05,90.0,30.099999999999994
30.0,60.0,90.0,30.0
30.05,59.95,90.0,29.900000000000002
30.1,59.9,90.0,29.799999999999997
30.150000000000002,59.849999999999994,90.0,29.699999999999992
30.200000000000003,59.8,90.0,29.599999999999994
30.25,59.75,90.0,29.5
30.3,59.7,90.0,29.400000000000002
30.35,59.65,90.0,29.299999999999997
30.400000000000002,59.599999999999994,90.0,29.199999999999992
30.450000000000003,59.55,90.0,29.099999999999994
30.5,59.5,90.0,29.0
30.55,59.45,90.0,28.900000000000002
30.6,59.4,90.0,28.799999999999997
30.650000000000002,59.349999999999994,90.0,28.699999999999992
30.700000000000003,59.3,90.0,28.599999999999994
30.75,59.25,90.0,28.5
30.8,59.2,90.0,28.400000000000002
30.85,59.15,90.0,28.299999999999997
30.900000000000002,59.099999999999994,90.0,28.199999999999992
30.950000000000003,59.05,90.0,28.099999999999994
31.0,59.0,90.0,28.0
31.05,58.95,90.0,27.900000000000002
31.1,58.9,90.0,27.799999999999997
31.150000000000002,58.849999999999994,90.0,27.699999999999992
31.200000000000003,58.8,90.0,27.599999999999994
31.25,58.75,90.0,27.5
31.3,58.7,90.0,27.400000000000002
31.35,58.65,90.0,27.299999999999997
31.400000000000002,58.599999999999994,90.0,27.199999999999992
31.450000000000003,58.55,90.0,27.099999999999994
31.5,58.5,90.0,27.0
31.55,58.45,90.0,26.900000000000002
31.6,58.4,90.0,26.799999999999997
31.650000000000002,58.349999999999994,90.0,26.699999999999992
31.700000000000003,58.3,90.0,26.599999999999994
31.75,58.25,90.0,26.5
31.8,58.2,90.0,26.400000000000002
31.85,58.15,90.0,26.299999999999997
31.900000000000002,58.099999999999994,90.0,26.199999999999992
31.950000000000003,58.05,90.0,26.099999999999994
32.0,58.0,90.0,26.0
32.050000000000004,57.949999999999996,90.0,25.89999999999999
32.1,57.9,90.0,25.799999999999997
32.15,57.85,90.0,25.700000000000003
32.2,57.8,90.0,25.599999999999994
32.25,57.75,90.0,25.5
32.300000000000004,57.699999999999996,90.0,25.39999999999999
32.35,57.65,90.0,25.299999999999997
32.4,57.6,90.0,25.200000000000003
32.45,57.55,90.0,25.099999999999994
32.5,57.5,90.0,25.0
32.550000000000004,57.449999999999996,90.0,24.89999999999999
32.6,57.4,90.0,24.799999999999997
32.65,57.35,90.0,24.700000000000003
32.7,57.3,90.0,24.599999999999994
32.75,57.25,90.0,24.5
32.800000000000004,57.199999999999996,90.0,24.39999999999999
32.85,57.15,90.0,24.299999999999997
32.9,57.1,90.0,24.200000000000003
32.95,57.05,90.0,24.099999999999994
33.0,57.0,90.0,24.0
33.050000000000004,56.949999999999996,90.0,23.89999999999999
33.1,56.9,90.0,23.799999999999997
33.15,56.85,90.0,23.700000000000003
33.2,56.8,90.0,23.599999999999994
33.25,56.75,90.0,23.5
33.300000000000004,56.699999999999996,90.0,23.39999999999999
33.35,56.65,90.0,23.299999999999997
33.4,56.6,90.0,23.200000000000003
33.45,56.55,90.0,23.099999999999994
33.5,56.5,90.0,23.0
33.550000000000004,56.449999999999996,90.0,22.89999999999999
33.6,56.4,90.0,22.799999999999997
33.65,56.35,90.0,22.700000000000003
33.7,56.3,90.0,22.599999999999994
33.75,56.25,90.0,22.5
33.800000000000004,56.199999999999996,90.0,22.39999999999999
33.85,56.15,90.0,22.299999999999997
33.9,56.1,90.0,22.200000000000003
33.95,56.05,90.0,22.099999999999994
34.0,56.0,90.0,22.0
34.050000000000004,55.949999999999996,90.0,21.89999999999999
34.1,55.9,90.0,21.799999999999997
34.15,55.85,90.0,21.700000000000003
34.2,55.8,90.0,21.599999999999994
34.25,55.75,90.0,21.5
34.300000000000004,55.699999999999996,90.0,21.39999999999999
