theta_rad,theta_deg,A_observable,B_complement,A_plus_B,G_gap
0.10210176124166828,5.8500000000000005,0.9896114053108829,0.01038859468911711,1.0,0.010280671789502357
0.10288715940506574,5.8950000000000005,0.9894515325733104,0.01054846742668969,1.0,0.010437197261637757
0.10367255756846318,5.94,0.989290452162736,0.010709547837263949,1.0,0.010594853422385303
0.10445795573186063,5.985,0.9891281644766101,0.010871835523389996,1.0000000000000002,0.010753638715742352
0.10524335389525807,6.03,0.9889646699153609,0.011035330084639089,1.0,0.010913551574562148
0.10602875205865553,6.075,0.9887999688823953,0.011200031117604658,1.0,0.011074590420569345
0.10681415022205297,6.12,0.9886340617840967,0.01136593821590327,1.0,0.01123675366437554
0.10759954838545042,6.165000000000001,0.9884669490298243,0.011533050970175658,1.0,0.011400039705494988
0.10838494654884787,6.21,0.9882986310319124,0.011701368968087707,1.0,0.011564446932360382
0.10917034471224532,6.255000000000001,0.9881291082056686,0.011870891794331498,1.0,0.011729973722338772
0.10995574287564276,6.3,0.9879583809693737,0.0120416190306263,1.0,0.011896618441747558
0.11074114103904022,6.345000000000001,0.9877864497442803,0.012213550255719637,1.0,0.012064379445870646
0.11152653920243766,6.39,0.9876133149546117,0.012386685045388292,1.0,0.012233255078974646
0.11231193736583511,6.4350000000000005,0.9874389770275607,0.012561022972439391,1.0,0.012403243674325241
0.11309733552923255,6.48,0.9872634363932885,0.012736563606711425,0.9999999999999999,0.012574343554203619
0.11388273369263001,6.525,0.9870866934849247,0.012913306515075332,1.0,0.012746553029923046
0.11466813185602745,6.57,0.9869087487385644,0.013091251261435552,0.9999999999999999,0.012919870401845513
0.1154535300194249,6.615,0.9867296025932688,0.013270397406731119,0.9999999999999999,0.013094293959398541
0.11623892818282235,6.66,0.9865492554910632,0.013450744508936718,0.9999999999999999,0.013269821981092026
0.1170243263462198,6.705,0.9863677078769361,0.013632292123063808,0.9999999999999999,0.013446452734535258
0.11780972450961726,6.750000000000001,0.9861849601988383,0.013815039801161702,1.0,0.01362418447645402
0.1185951226730147,6.795,0.9860010129076813,0.01399898709231866,0.9999999999999999,0.013803015452707755
0.11938052083641215,6.840000000000001,0.985815866457337,0.014184133542663034,1.0,0.013982943898306935
0.12016591899980959,6.885000000000001,0.9856295213046357,0.014370478695364362,1.0,0.014163968037430441
0.12095131716320705,6.930000000000001,0.9854419779093654,0.014558022090634502,0.9999999999999999,0.014346086083443099
0.12173671532660449,6.9750000000000005,0.9852532367342711,0.01474676326572877,0.9999999999999999,0.01452929623891332
0.12252211349000194,7.0200000000000005,0.9850632982450529,0.01493670175494708,1.0,0.014713596695630842
0.12330751165339938,7.065,0.984872162910365,0.01512783708963509,1.0,0.01489898563462455
0.12409290981679684,7.11,0.9846798312018147,0.01532016879818536,1.0,0.015085461226180468
0.12487830798019428,7.155,0.9844863035939615,0.015513696406038524,1.0,0.015273021629859792
0.12566370614359174,7.2,0.9842915805643156,0.015708419435684445,1.0,0.015461664994517057
0.1264491043069892,7.245000000000001,0.9840956625933365,0.0159043374066634,0.9999999999999999,0.015651389458318402
0.12723450247038662,7.29,0.9838985501644328,0.016101449835567265,1.0,0.015842193148759978
0.12801990063378407,7.335,0.9837002437639591,0.016299756236040738,0.9999999999999999,0.016034074182686386
0.12880529879718153,7.380000000000001,0.9835007438812177,0.016499256118782477,1.0000000000000002,0.0162270306663093
0.12959069696057898,7.425000000000001,0.9833000510084535,0.016699948991546344,0.9999999999999999,0.016421060695226093
